action,table,rows_accessed,status,timestamp,risk_label
EXPORT,payments,7774,failed,2026-03-25 00:23:39.060461,1
UPDATE,payments,9257,failed,2026-03-27 15:14:39.060461,1
DELETE,payments,2986,failed,2026-03-30 10:05:39.060461,0
SELECT,payments,2519,failed,2026-03-28 22:53:39.060461,0
SELECT,orders,1122,failed,2026-03-29 22:36:39.060974,0
SELECT,payments,3911,failed,2026-03-24 16:09:39.060974,0
SELECT,users,3996,failed,2026-03-24 00:10:39.060974,0
SELECT,payments,4117,success,2026-03-24 11:28:39.060974,0
EXPORT,users,1728,failed,2026-03-28 21:44:39.060974,1
DELETE,orders,9151,success,2026-03-24 17:08:39.060974,0
INSERT,users,777,success,2026-03-25 19:47:39.060974,0
SELECT,payments,467,success,2026-03-30 01:16:39.060974,0
INSERT,orders,4716,success,2026-03-28 20:05:39.060974,0
SELECT,orders,1976,success,2026-03-25 08:59:39.060974,0
UPDATE,payments,959,success,2026-03-26 13:31:39.060974,0
SELECT,users,8628,success,2026-03-24 18:20:39.060974,0
EXPORT,users,1596,failed,2026-03-30 03:38:39.060974,1
DELETE,payments,4226,success,2026-03-28 00:45:39.060974,0
SELECT,logs,6209,failed,2026-03-28 17:25:39.060974,1
DELETE,logs,5289,success,2026-03-26 08:57:39.060974,0
UPDATE,orders,4772,failed,2026-03-27 19:52:39.060974,0
EXPORT,logs,5286,success,2026-03-24 13:27:39.060974,1
SELECT,payments,6405,success,2026-03-30 00:24:39.060974,0
INSERT,payments,9899,success,2026-03-29 01:34:39.060974,0
INSERT,payments,6097,failed,2026-03-30 11:50:39.060974,1
SELECT,payments,8552,success,2026-03-25 20:52:39.060974,0
DELETE,payments,3808,failed,2026-03-25 18:06:39.060974,0
EXPORT,orders,5394,failed,2026-03-24 14:25:39.060974,1
INSERT,logs,4036,success,2026-03-29 20:56:39.060974,0
EXPORT,logs,2069,failed,2026-03-27 10:16:39.060974,1
DELETE,orders,3975,failed,2026-03-28 11:31:39.060974,0
INSERT,users,9986,failed,2026-03-26 06:33:39.060974,1
DELETE,orders,9708,failed,2026-03-29 17:52:39.060974,1
INSERT,payments,5957,failed,2026-03-24 21:23:39.061986,1
INSERT,logs,5864,failed,2026-03-26 17:47:39.061986,1
UPDATE,orders,8236,failed,2026-03-29 00:33:39.061986,1
SELECT,payments,9904,success,2026-03-25 09:21:39.061986,0
SELECT,payments,7124,success,2026-03-26 16:36:39.061986,0
INSERT,users,8906,failed,2026-03-29 11:33:39.061986,1
EXPORT,payments,5479,failed,2026-03-24 05:12:39.061986,1
EXPORT,payments,1514,failed,2026-03-27 23:59:39.061986,1
EXPORT,payments,6055,failed,2026-03-26 13:43:39.061986,1
INSERT,users,5034,success,2026-03-28 21:06:39.061986,0
EXPORT,orders,9690,failed,2026-03-29 03:05:39.061986,1
SELECT,orders,7265,success,2026-03-29 18:07:39.061986,0
EXPORT,orders,1269,failed,2026-03-30 00:40:39.061986,1
SELECT,orders,1034,success,2026-03-30 13:25:39.061986,0
INSERT,payments,7958,failed,2026-03-26 08:46:39.061986,1
INSERT,orders,1936,success,2026-03-26 23:16:39.061986,0
UPDATE,orders,2593,failed,2026-03-30 05:15:39.061986,0
EXPORT,users,9823,failed,2026-03-24 01:15:39.061986,1
SELECT,logs,4774,success,2026-03-30 03:18:39.061986,0
UPDATE,payments,6981,success,2026-03-24 08:49:39.061986,0
EXPORT,payments,3478,success,2026-03-28 11:07:39.062578,1
EXPORT,orders,4267,success,2026-03-25 07:14:39.062578,1
SELECT,users,344,failed,2026-03-26 05:28:39.062578,0
DELETE,orders,5928,failed,2026-03-29 12:51:39.062578,1
DELETE,users,5183,success,2026-03-23 21:10:39.062578,1
EXPORT,users,1449,failed,2026-03-28 15:56:39.062578,1
UPDATE,users,4685,failed,2026-03-25 12:03:39.062578,0
UPDATE,logs,6201,failed,2026-03-27 22:55:39.062578,1
INSERT,logs,2395,success,2026-03-26 07:30:39.062578,0
EXPORT,logs,4954,success,2026-03-26 16:03:39.062578,1
SELECT,users,4840,success,2026-03-25 13:17:39.062578,0
UPDATE,users,6989,failed,2026-03-29 05:43:39.062578,1
EXPORT,logs,3049,success,2026-03-30 04:45:39.062578,1
SELECT,users,4680,failed,2026-03-28 08:30:39.062578,0
EXPORT,orders,1014,failed,2026-03-25 01:21:39.062578,1
DELETE,payments,8839,success,2026-03-27 22:38:39.062578,0
UPDATE,payments,1121,failed,2026-03-24 15:01:39.062578,0
EXPORT,logs,8829,failed,2026-03-25 04:01:39.062578,1
INSERT,logs,6357,failed,2026-03-28 21:24:39.062578,1
INSERT,logs,7685,failed,2026-03-28 22:00:39.062578,1
INSERT,users,4238,success,2026-03-28 01:55:39.062578,0
DELETE,users,9120,failed,2026-03-29 15:54:39.062578,1
INSERT,logs,504,failed,2026-03-29 18:39:39.062578,0
EXPORT,logs,2104,failed,2026-03-24 11:01:39.062578,1
DELETE,users,9054,failed,2026-03-25 17:25:39.062578,1
EXPORT,orders,4942,success,2026-03-24 19:51:39.062578,1
EXPORT,logs,2004,failed,2026-03-28 16:47:39.062578,1
SELECT,users,1004,failed,2026-03-27 18:10:39.062578,0
EXPORT,payments,388,success,2026-03-29 21:01:39.062578,0
DELETE,logs,3942,failed,2026-03-28 18:12:39.062578,0
EXPORT,logs,1410,failed,2026-03-28 10:53:39.062578,1
UPDATE,users,2419,failed,2026-03-27 20:47:39.063586,0
EXPORT,payments,3816,success,2026-03-30 16:59:39.063586,1
INSERT,logs,9842,success,2026-03-24 07:08:39.063586,0
DELETE,logs,3543,failed,2026-03-26 03:32:39.063586,0
SELECT,orders,2084,failed,2026-03-24 19:07:39.063586,0
UPDATE,orders,7198,failed,2026-03-29 06:21:39.063586,1
INSERT,payments,1206,success,2026-03-26 13:30:39.063586,0
DELETE,users,8755,success,2026-03-29 17:57:39.063586,1
UPDATE,users,3995,success,2026-03-28 03:57:39.063586,0
UPDATE,orders,6446,success,2026-03-26 19:54:39.063586,0
DELETE,orders,5027,success,2026-03-25 02:49:39.063586,0
UPDATE,users,1139,success,2026-03-26 18:32:39.063586,0
EXPORT,payments,3297,success,2026-03-26 20:10:39.063586,1
DELETE,orders,6540,success,2026-03-28 19:36:39.063586,0
INSERT,users,7764,success,2026-03-24 01:15:39.063586,0
EXPORT,orders,6426,failed,2026-03-26 23:00:39.063586,1
DELETE,logs,4274,success,2026-03-28 11:05:39.063586,0
UPDATE,payments,271,failed,2026-03-24 08:45:39.063586,0
SELECT,logs,7057,failed,2026-03-26 14:10:39.063586,1
UPDATE,logs,3739,success,2026-03-30 14:51:39.063586,0
INSERT,users,9612,failed,2026-03-29 04:27:39.063586,1
EXPORT,payments,6406,failed,2026-03-25 05:58:39.063586,1
INSERT,users,6492,failed,2026-03-27 12:47:39.063586,1
DELETE,payments,9485,failed,2026-03-28 20:26:39.063586,1
DELETE,orders,410,success,2026-03-27 08:47:39.063586,0
SELECT,logs,287,failed,2026-03-26 11:37:39.063586,0
EXPORT,payments,9296,failed,2026-03-23 22:44:39.063586,1
INSERT,users,7088,success,2026-03-28 11:46:39.063586,0
SELECT,orders,5774,failed,2026-03-26 08:02:39.063586,1
INSERT,orders,979,failed,2026-03-29 11:34:39.063586,0
SELECT,users,407,failed,2026-03-29 15:59:39.063586,0
DELETE,logs,2564,failed,2026-03-29 17:45:39.063586,0
EXPORT,users,5966,success,2026-03-30 08:43:39.063586,1
EXPORT,orders,5593,success,2026-03-29 21:15:39.063586,1
UPDATE,payments,9261,failed,2026-03-24 14:27:39.063586,1
INSERT,orders,3702,failed,2026-03-30 15:01:39.063586,0
DELETE,payments,7339,failed,2026-03-25 22:43:39.063586,1
DELETE,orders,6554,success,2026-03-28 03:39:39.063586,0
DELETE,logs,9626,success,2026-03-24 18:21:39.063586,0
DELETE,logs,4441,failed,2026-03-26 22:04:39.063586,0
SELECT,logs,3165,success,2026-03-24 12:58:39.063586,0
DELETE,users,193,success,2026-03-27 17:02:39.063586,1
SELECT,users,3570,success,2026-03-27 06:40:39.063586,0
SELECT,orders,6119,failed,2026-03-29 01:19:39.063586,1
UPDATE,users,5300,success,2026-03-25 04:53:39.063586,0
DELETE,logs,3656,failed,2026-03-29 02:09:39.063586,0
EXPORT,users,6756,success,2026-03-27 13:31:39.063586,1
EXPORT,users,5076,success,2026-03-30 03:43:39.063586,1
EXPORT,orders,3176,failed,2026-03-29 16:14:39.063586,1
UPDATE,orders,9738,failed,2026-03-24 07:39:39.063586,1
DELETE,payments,4956,failed,2026-03-24 16:18:39.065094,0
EXPORT,logs,5155,failed,2026-03-25 07:14:39.065094,1
DELETE,users,9970,failed,2026-03-29 15:00:39.065094,1
SELECT,users,857,success,2026-03-25 04:42:39.065094,0
EXPORT,users,9160,failed,2026-03-25 14:12:39.065094,1
SELECT,payments,6182,success,2026-03-26 06:52:39.065094,0
EXPORT,logs,5107,success,2026-03-29 04:16:39.065094,1
UPDATE,orders,5165,failed,2026-03-24 07:05:39.065094,1
INSERT,payments,8509,failed,2026-03-25 04:22:39.065094,1
SELECT,orders,9986,failed,2026-03-27 03:46:39.065094,1
INSERT,orders,618,failed,2026-03-30 02:26:39.065094,0
DELETE,payments,684,failed,2026-03-24 20:53:39.065094,0
SELECT,payments,3687,success,2026-03-28 21:10:39.065094,0
UPDATE,orders,9424,success,2026-03-25 02:05:39.065094,0
EXPORT,logs,3243,success,2026-03-28 04:27:39.065094,1
DELETE,orders,8463,success,2026-03-26 11:57:39.065094,0
UPDATE,orders,814,failed,2026-03-28 11:52:39.065094,0
SELECT,users,7530,failed,2026-03-27 15:54:39.065094,1
UPDATE,users,3251,success,2026-03-27 22:15:39.065094,0
INSERT,orders,972,failed,2026-03-30 15:17:39.065094,0
EXPORT,users,4101,failed,2026-03-24 17:35:39.065094,1
UPDATE,payments,2874,success,2026-03-28 03:03:39.065094,0
DELETE,orders,1373,success,2026-03-29 12:04:39.065094,0
EXPORT,logs,6425,success,2026-03-27 20:50:39.065094,1
INSERT,users,9458,failed,2026-03-26 20:42:39.065094,1
DELETE,logs,2484,failed,2026-03-27 08:30:39.065094,0
DELETE,orders,5178,success,2026-03-27 00:37:39.065094,0
DELETE,logs,8309,success,2026-03-25 09:17:39.065094,0
INSERT,orders,5955,failed,2026-03-27 12:16:39.065094,1
INSERT,orders,1188,success,2026-03-23 22:34:39.065094,0
INSERT,logs,8665,failed,2026-03-28 06:12:39.065094,1
INSERT,orders,3275,success,2026-03-27 21:51:39.065094,0
UPDATE,users,7199,failed,2026-03-26 10:28:39.065094,1
DELETE,logs,5555,failed,2026-03-25 19:47:39.066105,1
SELECT,logs,1896,success,2026-03-30 12:37:39.066105,0
EXPORT,orders,4714,success,2026-03-29 06:54:39.066105,1
SELECT,payments,8844,success,2026-03-30 12:04:39.066105,0
SELECT,users,9279,failed,2026-03-27 21:58:39.066105,1
DELETE,logs,4341,failed,2026-03-27 10:43:39.066105,0
DELETE,payments,2524,success,2026-03-26 10:06:39.066105,0
INSERT,orders,5313,success,2026-03-27 18:43:39.066105,0
INSERT,payments,8493,failed,2026-03-25 06:17:39.066105,1
INSERT,payments,2423,failed,2026-03-25 15:23:39.066105,0
EXPORT,payments,5296,success,2026-03-28 04:49:39.066105,1
INSERT,payments,4362,failed,2026-03-26 02:46:39.066105,0
SELECT,users,9940,success,2026-03-30 12:54:39.066105,0
DELETE,payments,6717,failed,2026-03-27 16:43:39.066105,1
EXPORT,users,834,success,2026-03-30 04:33:39.066105,0
UPDATE,payments,6461,success,2026-03-27 23:03:39.066105,0
INSERT,users,9945,success,2026-03-25 02:59:39.066105,0
INSERT,users,4150,success,2026-03-24 00:58:39.066105,0
EXPORT,payments,1060,failed,2026-03-26 12:25:39.066105,1
EXPORT,orders,5186,success,2026-03-26 16:40:39.066105,1
SELECT,logs,3580,failed,2026-03-29 14:30:39.066105,0
UPDATE,users,6589,success,2026-03-30 13:48:39.066105,0
DELETE,users,2236,success,2026-03-24 04:25:39.066105,1
DELETE,logs,5919,failed,2026-03-30 16:04:39.066105,1
INSERT,logs,5612,failed,2026-03-24 16:21:39.066105,1
EXPORT,logs,71,success,2026-03-23 23:17:39.066105,0
UPDATE,logs,4984,failed,2026-03-27 03:32:39.066105,0
EXPORT,logs,8857,failed,2026-03-24 10:50:39.066105,1
INSERT,payments,2519,failed,2026-03-29 23:25:39.066105,0
SELECT,users,661,success,2026-03-26 22:51:39.066105,0
